,구분,?�균,?�년
604,2015-04-01,326,242
605,2015-04-02,354,243
606,2015-04-03,332,244
607,2015-04-06,332,247
608,2015-04-07,332,245
609,2015-04-08,332,243
610,2015-04-09,332,240
611,2015-04-10,332,238
612,2015-04-13,430,232
613,2015-04-14,432,234
614,2015-04-15,432,236
615,2015-04-16,417,239
616,2015-04-17,426,240
617,2015-04-20,439,244
618,2015-04-21,439,245
619,2015-04-22,445,246
620,2015-04-23,428,247
621,2015-04-24,428,248
622,2015-04-27,428,257
623,2015-04-28,428,261
624,2015-04-29,430,265
625,2015-04-30,443,267
626,2015-05-04,425,270
627,2015-05-06,419,276
628,2015-05-07,406,277
629,2015-05-08,406,278
630,2015-05-11,408,280
631,2015-05-12,406,282
632,2015-05-13,421,287
633,2015-05-14,421,289
634,2015-05-15,421,290
635,2015-05-18,417,289
636,2015-05-19,452,289
637,2015-05-20,456,284
638,2015-05-21,455,283
639,2015-05-22,457,285
640,2015-05-26,454,285
641,2015-05-27,450,293
642,2015-05-28,426,296
643,2015-05-29,422,301
644,2015-06-01,410,299
645,2015-06-02,410,298
646,2015-06-03,414,304
647,2015-06-04,390,311
648,2015-06-05,379,308
649,2015-06-08,385,314
650,2015-06-09,385,315
651,2015-06-10,385,375
652,2015-06-11,363,379
653,2015-06-12,350,389
654,2015-06-15,343,394
655,2015-06-16,343,397
656,2015-06-17,343,386
657,2015-06-18,339,382
658,2015-06-19,328,384
659,2015-06-22,321,385
660,2015-06-23,321,382
661,2015-06-24,320,382
662,2015-06-25,307,359
663,2015-06-26,302,359
664,2015-06-29,291,360
665,2015-06-30,291,362
666,2015-07-01,291,370
667,2015-07-02,285,372
668,2015-07-03,275,373
669,2015-07-06,267,403
670,2015-07-07,267,403
671,2015-07-08,267,406
672,2015-07-09,266,405
673,2015-07-10,261,405
674,2015-07-13,261,420
675,2015-07-14,242,419
676,2015-07-15,242,418
677,2015-07-16,231,419
678,2015-07-17,223,421
679,2015-07-20,223,429
680,2015-07-21,223,430
681,2015-07-22,223,431
682,2015-07-23,227,431
683,2015-07-24,229,431
684,2015-07-27,229,428
685,2015-07-28,229,427
686,2015-07-29,232,425
687,2015-07-30,238,424
688,2015-07-31,238,424
689,2015-08-03,238,420
690,2015-08-04,238,419
691,2015-08-05,238,427
692,2015-08-06,238,429
693,2015-08-07,239,410
694,2015-08-10,236,404
695,2015-08-11,236,400
696,2015-08-12,236,398
697,2015-08-13,236,393
698,2015-08-17,236,406
699,2015-08-18,236,399
700,2015-08-19,236,394
701,2015-08-20,236,392
702,2015-08-21,238,415
703,2015-08-24,238,443
704,2015-08-25,238,449
705,2015-08-26,238,458
706,2015-08-27,231,458
707,2015-08-28,231,455
708,2015-08-31,231,455
709,2015-09-01,231,461
710,2015-09-02,231,464
711,2015-09-03,231,454
712,2015-09-04,231,450
713,2015-09-07,231,447
714,2015-09-08,231,449
715,2015-09-09,231,447
716,2015-09-10,231,451
717,2015-09-11,231,453
718,2015-09-14,232,453
719,2015-09-15,232,453
720,2015-09-16,232,454
721,2015-09-17,231,448
722,2015-09-18,231,445
723,2015-09-21,231,444
724,2015-09-22,231,441
725,2015-09-23,231,432
726,2015-09-24,231,440
727,2015-09-25,232,454
728,2015-09-30,232,451
729,2015-10-01,228,446
730,2015-10-02,228,443
731,2015-10-05,228,447
732,2015-10-06,231,434
733,2015-10-07,231,430
734,2015-10-08,225,426
735,2015-10-12,230,425
736,2015-10-13,230,421
737,2015-10-14,230,417
738,2015-10-15,227,415
739,2015-10-16,227,414
740,2015-10-19,229,420
741,2015-10-20,229,414
742,2015-10-21,229,412
743,2015-10-22,231,396
744,2015-10-23,231,393
745,2015-10-26,227,392
746,2015-10-27,231,389
747,2015-10-28,235,388
748,2015-10-29,235,393
749,2015-10-30,235,392
750,2015-11-02,235,395
751,2015-11-03,235,398
752,2015-11-04,235,400
753,2015-11-05,235,402
754,2015-11-06,235,398
755,2015-11-09,235,396
756,2015-11-10,235,393
757,2015-11-11,235,387
758,2015-11-12,231,375
759,2015-11-13,255,372
760,2015-11-16,255,370
761,2015-11-17,255,366
762,2015-11-18,255,360
763,2015-11-19,261,343
764,2015-11-20,261,348
765,2015-11-23,261,345
766,2015-11-24,261,342
767,2015-11-25,261,321
768,2015-11-26,266,317
769,2015-11-27,266,314
770,2015-11-30,266,309
771,2015-12-01,266,302
772,2015-12-02,266,287
773,2015-12-03,276,281
774,2015-12-07,295,277
775,2015-12-08,295,272
776,2015-12-09,295,269
777,2015-12-10,295,258
778,2015-12-11,252,258
779,2015-12-14,252,256
780,2015-12-15,252,255
781,2015-12-16,252,256
782,2015-12-17,252,244
783,2015-12-18,252,242
784,2015-12-21,258,241
785,2015-12-22,258,240
786,2015-12-23,258,239
787,2015-12-24,258,231
788,2015-12-28,258,231
789,2015-12-29,250,230
790,2015-12-30,250,229
791,2015-12-31,250,229
792,2016-01-04,245,226
793,2016-01-05,245,227
794,2016-01-06,245,228
795,2016-01-07,250,228
796,2016-01-08,250,228
797,2016-01-11,250,230
798,2016-01-12,250,231
799,2016-01-13,250,231
800,2016-01-14,246,231
801,2016-01-15,246,233
802,2016-01-18,246,236
803,2016-01-19,246,237
804,2016-01-20,246,237
805,2016-01-21,246,239
806,2016-01-22,246,240
807,2016-01-25,246,239
808,2016-01-26,246,238
809,2016-01-27,246,236
810,2016-01-28,237,234
811,2016-01-29,237,233
812,2016-02-01,237,234
813,2016-02-02,237,236
814,2016-02-03,237,239
815,2016-02-04,237,243
816,2016-02-05,237,246
817,2016-02-11,250,246
818,2016-02-12,250,245
819,2016-02-15,242,244
820,2016-02-16,242,243
821,2016-02-17,242,243
822,2016-02-18,248,243
823,2016-02-19,248,244
824,2016-02-22,424,245
825,2016-02-23,422,247
826,2016-02-24,429,249
827,2016-02-25,426,250
828,2016-02-26,426,251
829,02/29,466,251
830,2016-03-02,467,250
831,2016-03-03,475,250
832,2016-03-04,475,250
833,2016-03-07,449,249
834,2016-03-08,449,251
835,2016-03-09,449,251
836,2016-03-10,466,249
837,2016-03-11,466,245
838,2016-03-14,454,241
839,2016-03-15,454,240
840,2016-03-16,454,240
841,2016-03-17,466,242
842,2016-03-18,466,245
843,2016-03-21,504,246
844,2016-03-22,504,245
845,2016-03-23,504,245
846,2016-03-24,489,244
847,2016-03-25,489,244
848,2016-03-28,489,245
849,2016-03-29,489,247
850,2016-03-30,489,248
851,2016-03-31,489,248
852,2016-04-01,503,251
853,2016-04-04,485,245
854,2016-04-05,485,245
855,2016-04-06,485,245
856,2016-04-07,487,246
857,2016-04-08,487,245
858,2016-04-11,475,243
859,2016-04-12,475,242
860,2016-04-14,469,241
861,2016-04-15,469,241
862,2016-04-18,469,241
863,2016-04-19,469,242
864,2016-04-20,469,243
865,2016-04-21,445,244
866,2016-04-22,445,246
867,2016-04-25,445,247
868,2016-04-26,439,253
869,2016-04-27,439,256
870,2016-04-28,377,259
871,2016-04-29,383,263
872,2016-05-02,384,264
873,2016-05-03,384,271
874,2016-05-04,387,271
875,2016-05-09,396,272
876,2016-05-10,388,272
877,2016-05-11,388,273
878,2016-05-12,390,280
879,2016-05-13,393,280
880,2016-05-16,389,283
881,2016-05-17,389,284
882,2016-05-18,371,284
883,2016-05-19,358,280
884,2016-05-20,358,279
885,2016-05-23,366,276
886,2016-05-24,366,273
887,2016-05-25,366,282
888,2016-05-26,336,283
889,2016-05-27,348,283
890,2016-05-30,348,288
891,2016-05-31,348,285
892,2016-06-01,342,281
893,2016-06-02,325,281
894,2016-06-03,325,284
895,2016-06-07,307,281
896,2016-06-08,318,286
897,2016-06-09,304,263
898,2016-06-10,301,263
899,2016-06-13,297,262
900,2016-06-14,287,344
901,2016-06-15,287,362
902,2016-06-16,285,357
903,2016-06-17,280,348
904,2016-06-20,282,342
905,2016-06-21,282,346
906,2016-06-22,282,349
907,2016-06-23,268,346
908,2016-06-24,262,345
909,2016-06-27,259,329
910,2016-06-28,259,332
911,2016-06-29,257,335
912,2016-06-30,242,336
913,2016-07-01,242,339
914,2016-07-04,244,339
915,2016-07-05,244,344
916,2016-07-06,244,344
917,2016-07-07,224,343
918,2016-07-08,224,360
919,2016-07-11,219,356
920,2016-07-12,218,360
921,2016-07-13,218,363
922,2016-07-14,214,361
923,2016-07-15,214,359
924,2016-07-18,211,358
925,2016-07-19,211,362
926,2016-07-20,211,363
927,2016-07-21,213,366
928,2016-07-22,213,369
929,2016-07-25,217,371
930,2016-07-26,217,370
931,2016-07-27,217,370
932,2016-07-28,212,372
933,2016-07-29,208,383
934,2016-08-01,212,385
935,2016-08-02,212,387
936,2016-08-03,212,387
937,2016-08-04,204,392
938,2016-08-05,204,394
939,2016-08-08,207,410
940,2016-08-09,207,396
941,2016-08-10,207,392
942,2016-08-11,206,388
943,2016-08-12,208,386
944,2016-08-16,215,384
945,2016-08-17,215,391
946,2016-08-18,215,391
947,2016-08-19,214,390
948,2016-08-22,214,390
949,2016-08-23,214,397
950,2016-08-24,214,423
951,2016-08-25,214,434
952,2016-08-26,214,435
953,2016-08-29,214,432
954,2016-08-30,209,429
955,2016-08-31,207,427
956,2016-09-01,208,427
957,2016-09-02,214,433
958,2016-09-05,214,437
959,2016-09-06,214,433
960,2016-09-07,214,427
961,2016-09-08,209,425
962,2016-09-09,209,431
963,2016-09-12,205,428
964,2016-09-13,211,429
965,2016-09-19,211,429
966,2016-09-20,209,431
967,2016-09-21,209,429
968,2016-09-22,212,423
969,2016-09-23,217,418
970,2016-09-26,219,418
971,2016-09-27,219,403
972,2016-09-28,217,407
973,2016-09-29,218,423
974,2016-09-30,217,435
975,2016-10-04,223,432
976,2016-10-05,217,440
977,2016-10-06,218,437
978,2016-10-07,218,435
979,2016-10-10,222,430
980,2016-10-11,222,423
981,2016-10-12,222,422
982,2016-10-13,224,421
983,2016-10-14,228,421
984,2016-10-17,228,420
985,2016-10-18,228,421
986,2016-10-19,228,417
987,2016-10-20,228,405
988,2016-10-21,228,399
989,2016-10-24,228,398
990,2016-10-25,228,396
991,2016-10-26,228,401
992,2016-10-27,228,402
993,2016-10-28,228,400
994,2016-10-31,228,401
995,2016-11-01,228,403
996,2016-11-02,228,403
997,2016-11-03,235,401
998,2016-11-04,235,399
999,2016-11-07,235,398
1000,2016-11-08,235,396
1001,2016-11-09,235,382
1002,2016-11-10,243,380
1003,2016-11-11,243,377
1004,2016-11-14,249,374
1005,2016-11-15,251,369
1006,2016-11-16,252,352
1007,2016-11-17,274,349
1008,2016-11-18,261,354
1009,2016-11-21,261,351
1010,2016-11-22,261,334
1011,2016-11-23,261,326
1012,2016-11-24,273,321
1013,2016-11-25,273,315
1014,2016-11-28,273,311
1015,2016-11-29,273,295
1016,2016-11-30,273,292
1017,2016-12-01,283,288
1018,2016-12-05,283,286
1019,2016-12-06,283,283
1020,2016-12-07,284,274
1021,2016-12-08,283,271
1022,2016-12-09,285,266
1023,2016-12-12,288,261
1024,2016-12-13,288,258
1025,2016-12-14,288,247
1026,2016-12-15,272,243
1027,2016-12-16,272,240
1028,2016-12-19,276,239
1029,2016-12-20,276,237
1030,2016-12-21,276,230
1031,2016-12-22,276,229
1032,2016-12-23,272,228
1033,2016-12-26,272,226
1034,2016-12-27,272,225
1035,2016-12-28,272,222
1036,2016-12-29,323,221
1037,2016-12-30,323,221
1038,2017-01-02,323,221
1039,2017-01-03,464,221
1040,2017-01-04,441,223
1041,2017-01-05,410,223
1042,2017-01-06,410,223
1043,2017-01-09,408,223
1044,2017-01-10,408,223
1045,2017-01-11,408,225
1046,2017-01-12,555,226
1047,2017-01-13,555,225
1048,2017-01-16,555,225
1049,2017-01-17,553,224
1050,2017-01-18,551,223
1051,2017-01-19,551,223
1052,2017-01-20,593,224
1053,2017-01-23,593,225
1054,2017-01-24,593,225
1055,2017-01-25,593,225
1056,2017-01-26,581,226
1057,2017-01-31,581,226
1058,2017-02-01,585,225
1059,2017-02-02,597,226
1060,2017-02-03,597,226
1061,2017-02-06,596,226
1062,2017-02-07,596,226
1063,2017-02-08,596,226
1064,2017-02-09,557,229
1065,2017-02-10,537,228
1066,2017-02-13,537,229
1067,2017-02-14,537,229
1068,2017-02-15,537,228
1069,2017-02-16,486,228
