,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
217,2012-08-05,0,2,51,31.8,,,
218,2012-08-06,0,2.4,54.1,31.5,,,
219,2012-08-07,0,3.2,48,30.7,,,
220,2012-08-08,0,2.9,51.6,29.6,,,
221,2012-08-09,0,2.2,63.5,29.7,,,
222,2012-08-10,0.3,1.9,69.4,27.4,,,
223,2012-08-11,0,1.9,65,27.7,,,
224,2012-08-12,17,2,80.3,25.5,,,
225,2012-08-13,2,2.1,65,26.6,,,
226,2012-08-14,15.5,2.9,64.3,26.7,,,
227,2012-08-15,136.5,2.7,88,23.7,,,
228,2012-08-16,0,1.6,68.8,26,,,
229,2012-08-17,0,2.5,74,27.5,,,
230,2012-08-18,2,2.5,80.3,27.2,,,
231,2012-08-19,5,4.9,75.8,27.9,,,
232,2012-08-20,59.5,4.1,87.4,25.4,,,
233,2012-08-21,137,2,85.4,25.3,,,
234,2012-08-22,17,1.9,80.5,22,,,
235,2012-08-23,0.1,3.5,68.3,23,,,
236,2012-08-24,7.5,3.9,70,23.3,,,
237,2012-08-25,11.5,2.5,80.1,25,,,
238,2012-08-26,0,1.9,72.3,27.5,,,
239,2012-08-27,0,4,59.9,28.5,,,
240,2012-08-28,13.5,7.5,69.5,26.1,,,
241,2012-08-29,6,5.3,70.3,25.7,,,
242,2012-08-30,34.5,3.3,85.8,21.4,,,
243,2012-08-31,0,2.8,65.6,23.8,,,
244,2012-09-01,0,2.2,69,25.2,,,
245,2012-09-02,0,2,65.1,25,,,
246,2012-09-03,0,1.5,71.4,24.9,,,
247,2012-09-04,55.5,2.3,84.1,22,,,
248,2012-09-05,10.5,2.7,61.1,22.3,,,
249,2012-09-06,0,2.2,52.9,21.6,,,
250,2012-09-07,3,2.4,60.6,22.5,,,
251,2012-09-08,25,4.2,71.8,20.2,,,
252,2012-09-09,0,1.8,68.4,20.9,,,
253,2012-09-10,0,1.9,61.4,23.2,,,
254,2012-09-11,0,2.1,53.1,22.8,,,
255,2012-09-12,0.5,1.8,68.9,21.6,,,
256,2012-09-13,13.5,1.5,87.1,20,,,
257,2012-09-14,2,1.7,68.5,19.4,,,
258,2012-09-15,0,2,56.8,21,,,
259,2012-09-16,2.5,3.8,60.1,19.9,,,
260,2012-09-17,85.5,5.2,86.8,17.3,,,
261,2012-09-18,0,2.9,69.4,20.9,,,
262,2012-09-19,0,2.4,63.9,20.6,,,
263,2012-09-20,0,2,69.6,20.1,,,
264,2012-09-21,0,2,68.3,20.1,,,
265,2012-09-22,0,1.9,60.6,20.7,,,
266,2012-09-23,0,1.4,56.6,21.2,,,
267,2012-09-24,0,1.9,49.8,21.5,,,
268,2012-09-25,0,2.3,52.3,21.8,,,
269,2012-09-26,0,1.8,60,21.3,,,
270,2012-09-27,0,2.2,62,20.3,,,
271,2012-09-28,13.5,2.7,72.3,18,,,
272,2012-09-29,0.5,2.6,58.8,16.4,,,
273,2012-09-30,0,1.5,63.8,16.2,,,
274,2012-10-01,0,1.5,64.3,18.1,,,
275,2012-10-02,0,1.5,64.3,19.3,,,
276,2012-10-03,0,1.8,60.4,19.9,,,
277,2012-10-04,0,2,61.6,19,,,
278,2012-10-05,0,1.9,61.4,19,,,
279,2012-10-06,0,1.6,52.9,19.6,,,
280,2012-10-07,0,2.1,54.9,19.2,,,
281,2012-10-08,0,1.8,53,18.4,,,
282,2012-10-09,0,1.5,60,17.6,,,
283,2012-10-10,13,2.3,69.6,15.7,,,
284,2012-10-11,0,2.3,47.4,13.9,,,
285,2012-10-12,0,1.8,51.8,14.9,,,
286,2012-10-13,0,1.7,54,16.4,,,
287,2012-10-14,0,2.6,39.9,16.3,,,
288,2012-10-15,0,1.6,33.3,14.8,,,
289,2012-10-16,0,2.5,46.5,17.1,,,
290,2012-10-17,2.5,3.8,57,12.6,,,
291,2012-10-18,0,2,46.5,11.6,,,
292,2012-10-19,0,1.8,52.3,14.8,,,
293,2012-10-20,0,3,65,15.8,,,
294,2012-10-21,0,1.7,70.5,18.3,,,
295,2012-10-22,39.5,3.9,77.3,13.4,,,
296,2012-10-23,0,3.2,49.4,10,,,
297,2012-10-24,0,2.5,62.8,13.2,,,
298,2012-10-25,0,1.8,68.5,15.2,,,
299,2012-10-26,0,2.2,62.1,15.9,,,
300,2012-10-27,44,3.3,84.5,14.3,,,
301,2012-10-28,0,3.6,65.4,14.3,,,
302,2012-10-29,0,2.1,60.6,11.7,,,
303,2012-10-30,0.1,2.9,55.4,8.6,,,
304,2012-10-31,0.2,2.5,50.9,6.9,,,
305,2012-11-01,0,3.7,36.5,5.6,,,
306,2012-11-02,0,1.9,36.9,7.2,,,
307,2012-11-03,0,1.9,41.5,9.4,,,
308,2012-11-04,4,3.4,56.5,11.8,,,
309,2012-11-05,8,1.9,87.6,8.5,,,
310,2012-11-06,5,2.3,81,7.1,,,
311,2012-11-07,0,2.4,68.4,8.4,,,
312,2012-11-08,0,1.6,74.6,8.8,,,
313,2012-11-09,0,2.5,63.6,9.4,,,
314,2012-11-10,0,4.6,49.3,12,,,
315,2012-11-11,28,5.3,72,8.7,,,
316,2012-11-12,3,4.6,67.8,7.3,,,
317,2012-11-13,0,3.6,54.8,5.3,,,
318,2012-11-14,0,3.4,53.3,2.4,,,
319,2012-11-15,0,1.4,51.5,4.2,,,
320,2012-11-16,9.5,2.1,74,4.9,,,
321,2012-11-17,1.5,3.2,61.6,5.3,,,
322,2012-11-18,0,1.7,45.1,3.5,,,
323,2012-11-19,5.5,3.2,64.4,3.4,,,
324,2012-11-20,0,2.1,51.6,1.9,,,
325,2012-11-21,0,1.6,62.5,4.1,,,
326,2012-11-22,0.3,2.1,68.3,6.7,,,
327,2012-11-23,0,3.1,63,3.3,,,
328,2012-11-24,0,2.3,46.9,1.7,,,
329,2012-11-25,0.5,1.6,55.6,3.4,,,
330,2012-11-26,1,3.8,51.5,2.3,,,
331,2012-11-27,0,1.7,38.9,2.1,,,
332,2012-11-28,1,3.8,54.5,5,,,
333,2012-11-29,0,2.3,34.4,0.8,,,
334,2012-11-30,0.5,2.5,49.6,1.7,,,
335,2012-12-01,0,1.8,47.9,-0.9,,,
336,2012-12-02,0,2.3,50.4,2.9,,,
337,2012-12-03,5.4,3.8,66.9,1.7,,,
338,2012-12-04,0,3.7,41.3,-3.3,,,
339,2012-12-05,5.8,3.2,66.5,-3.8,,,
340,2012-12-06,0.1,2.5,53.4,-6.3,,,
341,2012-12-07,1.9,4.1,76,-4.5,,,
342,2012-12-08,0,2.8,42.4,-8.2,,,
343,2012-12-09,0,2.8,45.5,-10.5,,,
344,2012-12-10,0,2,51.3,-8.3,,,
345,2012-12-11,0,2.1,55.3,-6.5,,,
346,2012-12-12,0,1.6,56.8,-5,,,
347,2012-12-13,0,2.7,55.1,-1.5,,,
348,2012-12-14,18.5,4.5,79.8,2.7,,,
349,2012-12-15,0.5,2.2,78.4,4.6,,,
350,2012-12-16,0,1.9,77,1.6,,,
